k,residual_norm_F
0,0.353553390593273762200422181052
1,0.756241452934747578720037510485
2,0.000276001812922195917853717690374
3,0.00000133306810178752336712143932331
4,8.26147647936505949554110001957e-12
5,2.47220811419782280963387100307e-19
6,4.58476570284161001322947232792e-32
7,2.54434865276524444871906029697e-52
8,2.61859429618808248322872948778e-85
9,1.4956131964996182065453104686e-138
10,8.79147923030417497157437320571e-225
11,2.95158769609258590382157566285e-364
12,5.82494855495704578876144076966e-590
13,3.85942169446747773291654128784e-955
14,5.04648255426898347375811886324e-1546
