k,algorithm1_residual,algorithm2_residual,abs_difference
0,0.353553390593273762200422181052,0.353553390593273762200422181052,0.0
1,0.756241452934747578720037510485,0.756241452934747578720037510485,0.0
2,0.000276001812922195917853717690374,0.000276001812922195917853717690374,1.56050307528059339632421784882e-2501
3,0.00000133306810178752336712143932331,0.00000133306810178752336712143932331,0.0
4,8.26147647936505949554110001957e-12,8.26147647936505949554110001957e-12,0.0
5,2.47220811419782280963387100307e-19,2.47220811419782280963387100307e-19,4.78592940379800760454242387343e-2520
6,4.58476570284161001322947232792e-32,4.58476570284161001322947232792e-32,0.0
7,2.54434865276524444871906029697e-52,2.54434865276524444871906029697e-52,0.0
8,2.61859429618808248322872948778e-85,2.61859429618808248322872948778e-85,0.0
9,1.4956131964996182065453104686e-138,1.4956131964996182065453104686e-138,0.0
10,8.79147923030417497157437320571e-225,8.79147923030417497157437320571e-225,1.1925572847461223239227907689e-2725
11,2.95158769609258590382157566285e-364,2.95158769609258590382157566285e-364,0.0
12,5.82494855495704578876144076966e-590,5.82494855495704578876144076966e-590,0.0
13,3.85942169446747773291654128784e-955,3.85942169446747773291654128784e-955,5.99390380591394379601419456732e-3456
14,5.04648255426898347375811886324e-1546,5.04648255426898347375811886324e-1546,0.0
