k,residual_norm_F,rho_k,orthogonality_defect,determinant,secant_defect,inverse_frobenius_norm,rank_one_correction_proxy
0,4.89087426215080651095843459206195225095087e-1,--,4.74883375803035810025119072358e-1202,1.0,--,--,--
1,4.62091385562840222441293602565469963625271e-1,4.43548759809664239801421e+1,2.22855179624313894777567338529e-1201,1.0,--,--,--
2,3.72389646107518526396686695574070890206195e-2,9.95496272439869869480529e-1,2.33746141886258252404671078495e-1201,1.0,1.9420361480876489145e-1202,1.7283564094168852074,7.7644650939745985135e-6
3,3.03524103895629240066656834429755393892773e-3,2.00423675035159696505353,2.8621947900656435481982117383e-1201,1.0,1.2137725925547805716e-1203,1.7307478713076713753,6.4366011831174383488e-7
4,1.99513078358136916204894149463126934739166e-5,1.49864966218381085671237,4.08491778485268761754892334006e-1201,1.0,0,1.7320423383593792776,2.6985653198941103353e-11
5,1.0704968215076542897870102588555372828569e-8,1.66726608674129187838542,3.0307320664805862856981784705e-1201,1.0,3.0344314813869514289e-1204,1.7320507521575845997,1.06233869106265522e-16
6,3.7755631159604074920089713864645759804468e-14,1.59978428125949152169865,4.03909093014423127811183209611e-1201,1.0,3.7041399919274309435e-1208,1.7320508075664833651,2.0745456117400829914e-26
7,7.14483374817137083295872079994311196343264e-23,1.62508427649538566675152,3.90076360562545746118341211408e-1201,1.0,1.6177165664307144224e-1210,1.7320508075688772928,7.2183044767550267456e-39
8,4.76868760967027894149497634689493760116819e-37,1.6153527016805392384161,4.72429086851560834123325736183e-1201,1.0,5.6894721235302635502e-1216,1.7320508075688772935,9.8698738279493283525e-61
9,6.02304366797434994061487124451659654195395e-60,1.61905984925746905452591,5.94808624492809411123279676392e-1201,1.0,0,1.7320508075688772935,2.3128197383479095957e-96
10,5.07738266626715581789985651035465227396037e-97,1.61764239318183240117664,5.27836318732922797226413171877e-1201,1.0,0,1.7320508075688772935,2.8423042757028454852e-152
11,5.40606071310522776193981363845294775315032e-157,1.61818360115615132215057,5.20893448211159903233484321016e-1201,1.0,9.668256495766433483e-1262,1.7320508075688772935,6.3921757650615999555e-244
12,4.85227968529884896902456404202698394120667e-254,1.61797684717947039574188,5.79147504834534316722953889041e-1201,1.0,3.6650962105781388683e-1298,1.7320508075688772935,5.8983814944043808146e-393
13,4.63715652176235901703265606331611011016189e-411,1.6180558156584531633741,5.86946219734124347086246098901e-1201,1.0,0,1.7320508075688772935,4.6946016833707859756e-632
14,3.9776135986034428835115165323851312286507e-665,1.61802565172515946526556,5.37728403991505172823230470757e-1201,1.0,0,1.7320508075688772935,2.0621567151707272303e-948
15,3.26061376629418256216269659408665999537891e-1076,--,5.21324657166321954395487790378e-1201,1.0,6.029110404876116408e-1614,1.7320508075688772935,3.2747472894214469133e-791
