k,residual_norm_F,objective_J,rho_k,orthogonality_defect,determinant,secant_defect,inverse_frobenius_norm
0,9.9986630533892744276346804336075106117906e-2,7.5659982479215262670558752191037639380466e-3,--,1.71631180077812376275383935028e-1201,1.0,--,--
1,7.61477503861851290659196567095014853895856e-2,5.46628663174382355357244854399974526819265e-3,1.59686769967765020209701e+1,2.41341555661198276846408032068e-1201,1.0,--,--
2,9.83568075501303488508461225416696429773084e-4,2.56715043412524113579430273917057986579818e-3,9.90494530181675146131223e-1,2.37744659736821711999677082704e-1201,1.0,0,1.7322653631053310108
3,1.32405553866558645512631085414063320467633e-5,2.56666675433715745397921695449580334443612e-3,2.00957109830428513115059,2.75791818546465804511014385581e-1201,1.0,2.4275451851095611431e-1203,1.7322629434521443726
4,2.3025189234897877781429632292686350259573e-9,2.56666666666666931781139587198988450896069e-3,1.49762162710077445094096,3.08374429935579776560749988509e-1201,1.0,0,1.7322978275688177877
5,5.39002392147473399329246770436711291072023e-15,2.56666666666666666666666668119477765272601e-3,1.66772749214564860883988,3.89699034160682569295400609635e-1201,1.0,1.2218048351033077007e-1206,1.7322978333889433787
6,2.19413529129526449479729312531981927866257e-24,2.56666666666666666666666666666666666666667e-3,1.59961402775897686766298,4.71388879872122523337696364137e-1201,1.0,7.2346484217332635615e-1211,1.7322978333899977201
7,2.09104868699841641520588999084353864113593e-39,2.56666666666666666666666666666666666666667e-3,1.62515272177529776274469,5.37566967586924642497821323489e-1201,1.0,0,1.7322978333899977201
8,8.1116430642475380980941931405510331338517e-64,2.56666666666666666666666666666666666666667e-3,1.61532726805846816866956,4.41605599993018409615220912215e-1201,1.0,0,1.7322978333899977201
9,2.99876530927691154294492215200674576705987e-103,2.56666666666666666666666666666666666666667e-3,1.61906856814407061619247,6.80234580462473324896157525547e-1201,1.0,0,1.7322978333899977201
10,4.30091996034379108793258969223292068397422e-167,2.56666666666666666666666666666666666666667e-3,1.61763951766264617183254,5.95836767286630468677449996495e-1201,1.0,0,1.7322978333899977201
11,2.28026396049419479287290891148221900488596e-270,2.56666666666666666666666666666666666666667e-3,1.61818481414830644054951,5.22630263448333362661954910119e-1201,1.0,0,1.7322978333899977201
12,1.73386781037177204833051629799583644430285e-437,2.56666666666666666666666666666666666666667e-3,1.61797614129789654676265,5.62774930860302429395429442555e-1201,1.0,0,1.7322978333899977201
13,6.99054696931510159456347373452075020949539e-708,2.56666666666666666666666666666666666666667e-3,--,6.61554702417378225375081047492e-1201,1.0,2.2975301106099952852e-1473,1.7322978333899977201
