SO(3) alignment with block-diagonal central-difference core + rank-one correction
mp.dps = 1200
tau = 0.1
tolerance = 1.0e-700
k  ||F(X_k)||_F                  rho_k          orthogonality defect
 0  4.890874262150806510958e-1              --   4.74883375803e-1202
 1  4.620913855628402224413e-1  4.4354875981e+1   2.22855179624e-1201
 2  3.723896461075185263967e-2  9.9549627244e-1   2.33746141886e-1201
 3  3.035241038956292400667e-3   2.00423675035   2.86219479007e-1201
 4  1.995130783581369162049e-5   1.49864966218   4.08491778485e-1201
 5  1.070496821507654289787e-8   1.66726608674   3.03073206648e-1201
 6  3.775563115960407492009e-14   1.59978428126   4.03909093014e-1201
 7  7.144833748171370832959e-23    1.6250842765   3.90076360563e-1201
 8  4.768687609670278941495e-37   1.61535270168   4.72429086852e-1201
 9  6.023043667974349940615e-60   1.61905984926   5.94808624493e-1201
10   5.0773826662671558179e-97   1.61764239318   5.27836318733e-1201
11  5.40606071310522776194e-157   1.61818360116   5.20893448211e-1201
12  4.852279685298848969025e-254   1.61797684718   5.79147504835e-1201
13  4.637156521762359017033e-411   1.61805581566   5.86946219734e-1201
14  3.977613598603442883512e-665   1.61802565173   5.37728403992e-1201
15  3.260613766294182562163e-1076              --   5.21324657166e-1201

final residual = 3.260613766294182562162696594086659995379e-1076
secant updates = 14
final orthogonality defect = 5.21324657166321954395487790378e-1201
max secant defect = 1.94203614808764891449118855774e-1202
